Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,82.349998,82.379997,81.474998,81.730003,78.807762,4093135
2019-12-20,81.860001,81.940002,81.000000,81.250000,78.344925,7478049
2019-12-23,81.190002,81.300003,80.750000,80.839996,77.949577,1317871
2019-12-24,80.720001,80.849998,80.400002,80.709999,77.824234,783104
2019-12-27,80.989998,81.120003,80.550003,81.070000,78.171364,1159836
2019-12-30,81.250000,81.300003,80.470001,81.099998,78.200294,905155
2019-12-31,80.529999,80.550003,79.800003,79.900002,77.043198,1766363
2020-01-02,79.790001,80.220001,79.389999,79.879997,77.023911,1416232
2020-01-03,80.970001,81.190002,80.250000,80.309998,77.438530,1622784
2020-01-06,79.730003,79.879997,79.230003,79.769997,76.917847,2129260
2020-01-07,80.820000,81.199997,80.180000,81.199997,78.296707,2417468
2020-01-08,81.220001,81.250000,80.029999,80.900002,78.007446,1719114
2020-01-09,81.500000,81.839996,81.169998,81.489998,78.576347,3014295
2020-01-10,81.629997,82.500000,81.605003,82.500000,79.550232,2875353
2020-01-13,82.099998,82.580002,81.730003,82.480003,79.530952,1434635
2020-01-14,82.959999,83.519997,82.769997,83.169998,80.196274,2703855
2020-01-15,83.099998,83.769997,83.099998,83.660004,80.668762,2039328
2020-01-16,84.000000,84.459999,83.879997,84.459999,81.440155,3058484
2020-01-17,84.739998,84.959999,84.010002,84.050003,81.044815,2401336
2020-01-20,84.000000,84.400002,83.830002,83.930000,80.929108,1980399
2020-01-21,83.879997,83.879997,83.199997,83.480003,80.495201,1923944
2020-01-22,83.500000,84.559998,83.489998,84.449997,81.430511,3656698
2020-01-23,84.440002,84.949997,84.260002,84.519997,81.498009,2105704
2020-01-24,84.900002,85.400002,84.769997,84.940002,81.902992,2839291
2020-01-28,83.699997,84.070000,83.540001,84.019997,81.015884,2273413
2020-01-29,84.440002,84.860001,84.160004,84.610001,81.584793,1877335
2020-01-30,84.839996,85.440002,84.680000,85.440002,82.385117,3176161
2020-01-31,85.570000,85.970001,84.900002,85.260002,82.211555,6713764
2020-02-03,84.150002,84.949997,84.059998,84.550003,81.526939,2139581
2020-02-04,84.400002,84.690002,83.964996,84.309998,81.295517,2564013
2020-02-05,85.000000,85.000000,83.279999,83.279999,80.302345,3166202
2020-02-06,83.930000,84.349998,83.500000,84.230003,81.218384,3581220
2020-02-07,84.620003,84.800003,83.949997,84.800003,81.767998,3368097
2020-02-10,84.739998,84.739998,84.080002,84.320000,81.305161,1818742
2020-02-11,84.800003,85.000000,84.519997,84.720001,81.690857,1913033
2020-02-12,86.199997,88.559998,86.199997,88.180000,85.027145,7132862
2020-02-13,88.489998,88.730003,87.870003,88.730003,85.557487,4143011
2020-02-14,89.400002,91.050003,89.300003,90.989998,87.736671,7942600
2020-02-17,90.790001,90.879997,89.250000,89.459999,86.261375,2619663
2020-02-18,89.809998,90.260002,89.580002,90.260002,87.032776,3817424
2020-02-19,88.010002,88.150002,87.500000,87.830002,86.608757,8050978
2020-02-20,87.830002,88.099998,87.410004,87.849998,86.628479,2902590
2020-02-21,87.849998,88.800003,87.529999,88.800003,87.565269,2506023
2020-02-24,87.610001,87.989998,87.400002,87.989998,86.766533,2432907
2020-02-25,86.300003,87.279999,85.849998,86.800003,85.593079,3475833
2020-02-26,85.330002,86.050003,85.070000,85.349998,84.163239,3362264
2020-02-27,85.120003,85.639999,83.730003,84.430000,83.256035,4435151
2020-02-28,82.250000,82.589996,81.269997,81.779999,80.642876,7654504
2020-03-02,80.050003,80.769997,78.750000,80.470001,79.351097,4714534
2020-03-03,81.500000,81.949997,79.089996,79.110001,78.010002,4537570
2020-03-04,78.169998,78.400002,76.500000,77.110001,76.037811,4610814
2020-03-05,78.150002,78.300003,76.389999,76.750000,75.682823,5804404
2020-03-06,75.330002,75.500000,73.930000,73.930000,72.902031,4995332
2020-03-09,71.000000,71.959999,69.150002,69.150002,68.188499,7669261
2020-03-10,67.529999,73.370003,65.750000,73.370003,72.349823,8874773
2020-03-11,73.070000,73.500000,68.500000,68.500000,67.547531,8171997
2020-03-12,67.900002,68.739998,63.110001,63.110001,62.232479,10247518
2020-03-13,60.470001,66.360001,57.160000,66.360001,65.437286,17021972
2020-03-16,61.439999,65.379997,59.720001,59.720001,58.889618,10752353
2020-03-17,59.720001,67.900002,59.700001,67.639999,66.699493,11345264
2020-03-18,65.959999,66.900002,61.959999,63.950001,63.060799,10404325
2020-03-19,66.190002,68.500000,60.450001,60.950001,60.102512,10958660
2020-03-20,64.410004,64.410004,59.910000,59.910000,59.076973,10756489
2020-03-23,57.709999,57.799999,53.439999,54.259998,53.505531,10019723
2020-03-24,56.009998,58.080002,55.000000,57.000000,56.207436,6944322
2020-03-25,62.000000,62.400002,57.880001,62.400002,61.532352,7698259
2020-03-26,62.900002,63.209999,60.060001,61.799999,60.940693,5841282
2020-03-27,63.279999,63.790001,57.660000,57.660000,56.858257,12591507
2020-03-30,57.849998,63.950001,57.849998,63.950001,63.060799,5825869
2020-03-31,64.599998,68.180000,61.000000,61.820000,60.960415,9250686
2020-04-01,64.000000,64.000000,61.570000,63.669998,62.784691,6392579
2020-04-02,61.250000,62.290001,59.680000,61.240002,60.388481,8116112
2020-04-03,62.099998,62.500000,59.669998,60.110001,59.274193,5466414
2020-04-06,61.090000,62.990002,60.500000,62.470001,61.601379,4475626
2020-04-07,63.599998,64.790001,61.000000,61.869999,61.009720,6689173
2020-04-08,60.000000,61.250000,59.310001,59.810001,58.978367,7488425
2020-04-09,61.570000,61.759998,59.840000,61.759998,60.901249,4265838
2020-04-14,61.759998,62.750000,60.799999,62.750000,61.877483,4179847
2020-04-15,62.500000,63.250000,61.500000,62.070000,61.206940,4472733
2020-04-16,60.470001,61.259998,60.139999,61.259998,60.408199,5129177
2020-04-17,62.150002,62.290001,61.049999,61.060001,60.210983,3484591
2020-04-20,60.990002,61.590000,59.880001,59.880001,59.047390,3866241
2020-04-21,60.139999,60.450001,58.630001,58.630001,57.814774,4261494
2020-04-22,58.380001,59.950001,57.580002,59.250000,58.426151,4437856
2020-04-23,60.000000,60.240002,58.369999,58.830002,58.011993,4443380
2020-04-24,58.549999,59.549999,58.490002,58.880001,58.061295,4408844
2020-04-27,58.250000,58.880001,57.000000,58.880001,58.061295,4215834
2020-04-28,59.099998,60.130001,58.000000,58.610001,57.795052,4608913
2020-04-29,59.349998,61.070000,59.349998,61.070000,60.220844,3903547
2020-04-30,61.880001,62.930000,61.259998,62.689999,61.818317,5477696
2020-05-01,61.509998,61.540001,58.840000,58.840000,58.021851,5231281
2020-05-04,58.630001,60.110001,58.009998,59.880001,59.047390,3294801
2020-05-05,60.599998,61.189999,60.150002,60.849998,60.003902,3811757
2020-05-06,60.500000,60.700001,59.880001,60.349998,59.510853,2251545
2020-05-07,59.930000,60.189999,59.139999,59.259998,58.436008,3227213
2020-05-08,60.250000,60.299999,59.470001,59.599998,58.771282,3732173
2020-05-11,60.000000,60.770000,59.799999,60.139999,59.303776,3138014
2020-05-12,60.189999,60.500000,59.250000,59.709999,58.879753,3095215
2020-05-13,59.200001,60.849998,58.790001,60.849998,60.003902,4472151
2020-05-14,59.400002,59.590000,58.820000,58.900002,58.081020,4440061
2020-05-15,59.500000,59.759998,58.910000,59.599998,58.771282,2541031
2020-05-18,59.889999,59.939999,58.880001,58.900002,58.081020,2783661
2020-05-19,60.099998,60.400002,59.400002,59.650002,58.820591,3796234
2020-05-20,59.099998,60.099998,59.020000,60.070000,59.234749,2628015
2020-05-21,60.340000,60.400002,59.049999,59.049999,58.228931,3701924
2020-05-22,59.150002,59.459999,58.700001,58.700001,57.883801,3533352
2020-05-25,59.340000,59.369999,58.650002,58.990002,58.169769,3314489
2020-05-26,59.400002,61.310001,59.110001,61.310001,60.457508,6741584
2020-05-27,61.810001,65.879997,61.740002,64.300003,63.405933,10042101
2020-05-28,66.010002,67.029999,65.089996,65.730003,64.816055,5684569
2020-05-29,65.370003,65.650002,63.750000,63.750000,62.863579,8073379
2020-06-01,63.049999,64.230003,62.310001,63.900002,63.011494,3070283
2020-06-02,64.000000,64.440002,63.570000,64.029999,63.139687,2100991
2020-06-03,64.610001,66.290001,64.459999,66.110001,65.190765,3553552
2020-06-04,67.900002,68.650002,66.910004,67.660004,66.719215,6606740
2020-06-05,68.169998,68.980003,67.910004,68.730003,67.774338,4428390
2020-06-09,71.000000,72.419998,70.669998,72.199997,71.196083,5346437
2020-06-10,71.379997,72.419998,70.599998,71.599998,70.604424,3872247
2020-06-11,69.870003,70.500000,68.309998,68.440002,67.488373,5573908
2020-06-12,66.500000,67.639999,65.379997,67.320000,66.383942,6002755
2020-06-15,67.220001,68.000000,66.300003,66.300003,65.378128,4090602
2020-06-16,68.760002,69.570000,68.150002,69.089996,68.129326,5425361
2020-06-17,69.699997,69.779999,68.559998,69.589996,68.622375,3893680
2020-06-18,69.150002,69.440002,68.129997,69.010002,68.050446,6359929
2020-06-19,69.650002,69.870003,68.360001,68.680000,67.725029,5999403
2020-06-22,68.150002,69.860001,67.900002,69.440002,68.474464,2314821
2020-06-23,69.660004,69.660004,68.290001,69.029999,68.070160,2516618
2020-06-24,69.239998,69.599998,68.629997,69.239998,68.277245,2798594
2020-06-25,67.959999,68.614998,67.570000,67.650002,66.709351,3797086
2020-06-26,68.669998,69.410004,68.320000,69.269997,68.306824,5935454
2020-06-29,67.800003,68.580002,67.370003,68.580002,67.626419,2706964
2020-06-30,69.550003,70.150002,69.010002,69.419998,68.454742,4503164
2020-07-01,69.449997,69.879997,68.870003,69.879997,68.908340,2669469
2020-07-02,69.800003,71.160004,69.519997,71.099998,70.111382,4184511
2020-07-03,71.430000,71.930000,70.769997,71.570000,70.574844,2633309
2020-07-06,71.400002,72.300003,70.970001,71.419998,70.426926,2432574
2020-07-07,71.900002,72.389999,71.160004,71.239998,70.249435,3742188
2020-07-08,70.970001,71.470001,70.250000,70.559998,69.578888,3698529
2020-07-09,71.019997,71.129997,70.419998,70.419998,69.440834,2582172
2020-07-10,70.610001,71.150002,70.209999,70.629997,69.647911,2954790
2020-07-13,71.800003,72.629997,71.500000,72.120003,71.117203,3169882
2020-07-14,72.000000,72.250000,71.440002,71.730003,70.732628,2788782
2020-07-15,72.000000,72.800003,71.400002,72.730003,71.718719,3427002
2020-07-16,73.070000,73.449997,72.089996,72.639999,71.629967,3339604
2020-07-17,72.779999,73.019997,72.209999,72.599998,71.590523,3329439
2020-07-20,72.209999,72.349998,71.550003,71.989998,70.989006,1506664
2020-07-21,72.779999,74.430000,72.339996,74.430000,73.395081,3172653
2020-07-22,74.300003,74.720001,73.570000,74.129997,73.099251,2723772
2020-07-23,73.760002,73.959999,73.180000,73.739998,72.714668,2494631
2020-07-24,73.199997,73.639999,72.750000,72.860001,71.846909,2473039
2020-07-27,72.849998,73.279999,72.269997,72.489998,71.482048,1905993
2020-07-28,72.820000,73.050003,72.129997,72.209999,71.205948,1907858
2020-07-29,72.800003,73.910004,72.540001,73.010002,71.994827,4074211
2020-07-30,73.300003,73.870003,73.029999,73.220001,72.201904,2916496
2020-07-31,72.599998,72.669998,71.029999,71.199997,70.209984,4787087
2020-08-03,70.410004,70.510002,69.129997,69.930000,68.957649,3299430
2020-08-04,71.300003,72.250000,71.169998,71.500000,70.505821,4177168
2020-08-05,70.309998,71.769997,69.669998,71.699997,70.703033,2914726
2020-08-06,72.000000,72.239998,71.150002,71.709999,70.712898,2237150
2020-08-07,71.209999,71.650002,71.019997,71.519997,70.525536,2499015
2020-08-10,72.099998,74.120003,72.059998,73.980003,72.951340,3363578
2020-08-11,74.000000,76.029999,73.910004,74.699997,73.661324,4249396
2020-08-12,75.970001,76.750000,73.949997,74.339996,73.306328,4403812
2020-08-13,74.989998,75.169998,72.129997,72.430000,71.422890,5960634
2020-08-14,72.430000,72.870003,71.269997,71.760002,70.762207,4061418
2020-08-17,71.099998,71.449997,70.650002,70.760002,69.776108,3329741
2020-08-18,70.800003,71.239998,70.029999,70.480003,69.500008,4601033
2020-08-19,69.510002,71.059998,69.510002,71.040001,71.040001,3711730
2020-08-20,69.849998,70.669998,69.849998,70.260002,70.260002,4527699
2020-08-21,70.500000,71.150002,69.629997,69.629997,69.629997,4129176
2020-08-24,69.580002,69.629997,68.849998,68.949997,68.949997,2682292
2020-08-25,70.000000,70.779999,69.599998,70.449997,70.449997,3548162
2020-08-26,69.820000,69.870003,68.800003,69.650002,69.650002,2667332
2020-08-27,69.650002,69.830002,68.900002,69.070000,69.070000,3089720
2020-08-28,69.320000,69.680000,68.820000,69.089996,69.089996,3290137
2020-08-31,68.849998,69.160004,68.279999,68.279999,68.279999,2630027
2020-09-01,67.510002,67.720001,66.419998,66.790001,66.790001,4125905
2020-09-02,66.959999,67.919998,66.900002,67.610001,67.610001,2427562
2020-09-03,68.250000,68.599998,68.019997,68.180000,68.180000,2379411
2020-09-04,67.129997,67.440002,66.669998,66.730003,66.730003,2884072
2020-09-07,66.370003,67.900002,66.070000,67.370003,67.370003,2350246
2020-09-08,67.870003,68.489998,67.570000,68.489998,68.489998,2062956
2020-09-09,66.599998,66.980003,66.330002,66.790001,66.790001,3026643
2020-09-10,67.879997,67.879997,66.290001,66.720001,66.720001,2969184
2020-09-11,66.000000,66.260002,65.800003,65.800003,65.800003,2996930
2020-09-14,66.190002,66.589996,65.800003,66.169998,66.169998,1944822
2020-09-15,66.000000,66.160004,65.000000,65.029999,65.029999,3757071
2020-09-16,65.599998,65.830002,65.010002,65.699997,65.699997,3905800
2020-09-17,65.370003,65.769997,65.000000,65.000000,65.000000,3934061
2020-09-18,65.110001,65.250000,64.370003,64.370003,64.370003,6383515
