"ASX code","Company name","Listing date","GICs industry group"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods"
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences"
"1AG","ALTERRA LIMITED","2008-05-16","Commercial & Professional Services"
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services"
"2BE","TUBI LIMITED","2019-06-14","Energy"
"360","LIFE360 INC.","2019-05-10","Software & Services"
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods"
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services"
"4CE","FORCE COMMODITIES LIMITED","2010-12-03","Materials"
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment"
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services"
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services"
"88E","88 ENERGY LIMITED","2000-01-20","Energy"
"8CO","8COMMON LIMITED","2014-08-27","Software & Services"
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Not Applic"
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials"
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services"
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services"
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials"
"A1M","AIC MINES LIMITED","1993-11-04","Materials"
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation"
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco"
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods"
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials"
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco"
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials"
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco"
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials"
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials"
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks"
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend"
"ABC","ADBRI LIMITED","1962-05-31","Materials"
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate"
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials"
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components"
"ABW","AURORA ABSOLUTE RETURN FUND","2006-07-10","Not Applic"
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials"
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing"
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences"
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy"
"ACE","ACUSENSUS LIMITED",,"Class Pend"
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods"
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials"
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic"
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences"
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials"
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate"
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences"
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment"
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment"
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services"
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy"
"ADH","ADAIRS LIMITED","2015-06-17","Retailing"
"ADI","APN INDUSTRIA REIT","2013-12-03","Real Estate"
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials"
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences"
"ADONC","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences"
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services"
"ADS","ADSLOT LTD.","1987-12-17","Software & Services"
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials"
"ADV","ARDIDEN LTD","2005-10-25","Materials"
"ADX","ADX ENERGY LTD","1987-01-29","Energy"
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials"
