Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,25.309999,25.320000,24.959999,25.020000,24.239517,9388150
2019-12-20,24.950001,25.049999,24.860001,24.889999,24.113573,11637884
2019-12-23,24.879999,24.920000,24.809999,24.850000,24.074820,3230999
2019-12-24,24.840000,24.940001,24.760000,24.860001,24.084509,2178808
2019-12-27,24.900000,24.950001,24.809999,24.930000,24.152325,2757244
2019-12-30,24.809999,24.910000,24.700001,24.889999,24.113573,2651840
2019-12-31,24.740000,24.750000,24.510000,24.629999,23.861683,5463481
2020-01-02,24.500000,24.650000,24.430000,24.570000,23.803553,3066508
2020-01-03,24.930000,24.930000,24.660000,24.719999,23.948874,3142425
2020-01-06,24.590000,24.639999,24.360001,24.549999,23.784176,4824722
2020-01-07,24.820000,24.969999,24.730000,24.900000,24.123259,5215076
2020-01-08,24.910000,24.920000,24.525000,24.820000,24.045755,4203931
2020-01-09,25.049999,25.150000,24.750000,24.830000,24.055443,4609917
2020-01-10,25.000000,25.030001,24.830000,24.930000,24.152325,4657091
2020-01-13,24.930000,25.000000,24.730000,24.930000,24.152325,3921740
2020-01-14,25.059999,25.170000,25.010000,25.059999,24.278269,4694962
2020-01-15,25.070000,25.190001,25.020000,25.170000,24.384838,5010202
2020-01-16,25.360001,25.410000,25.200001,25.360001,24.568913,5372339
2020-01-17,25.500000,25.559999,25.450001,25.459999,24.665791,3924514
2020-01-20,25.500000,25.670000,25.480000,25.610001,24.811113,6393754
2020-01-21,25.690001,25.700001,25.549999,25.700001,24.898306,4330131
2020-01-22,25.790001,25.860001,25.540001,25.709999,24.907991,5205110
2020-01-23,25.840000,25.860001,25.570000,25.690001,24.888617,5586436
2020-01-24,25.790001,25.990000,25.740000,25.799999,24.995184,4791959
2020-01-28,25.570000,25.629999,25.410000,25.610001,24.811113,4947416
2020-01-29,25.790001,25.900000,25.709999,25.799999,24.995184,6197933
2020-01-30,25.809999,25.990000,25.790001,25.879999,25.072689,4823363
2020-01-31,25.990000,26.020000,25.780001,25.860001,25.053312,6218849
2020-02-03,25.350000,25.559999,25.250000,25.500000,24.704542,6280742
2020-02-04,25.549999,25.695000,25.450001,25.600000,24.801426,4363787
2020-02-05,25.700001,25.799999,25.520000,25.610001,24.811113,4453302
2020-02-06,25.750000,26.035000,25.719999,25.950001,25.140507,7663277
2020-02-07,26.000000,26.000000,25.680000,25.920000,25.111443,5270062
