Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,3.880000,3.910000,3.860000,3.880000,3.767580,21360664
2019-12-20,3.920000,3.930000,3.880000,3.900000,3.787000,25964233
2019-12-23,3.900000,3.920000,3.860000,3.900000,3.787000,8719447
2019-12-24,3.890000,3.910000,3.860000,3.910000,3.796710,3432813
2019-12-27,3.910000,3.930000,3.870000,3.930000,3.816131,6039753
2019-12-30,3.930000,3.940000,3.880000,3.900000,3.787000,8356689
2019-12-31,3.860000,3.890000,3.830000,3.830000,3.719028,9596179
2020-01-02,3.830000,3.880000,3.830000,3.850000,3.738449,3950213
2020-01-03,3.910000,3.915000,3.860000,3.880000,3.767580,6196830
2020-01-06,3.880000,3.900000,3.850000,3.890000,3.777290,6265042
2020-01-07,3.930000,3.950000,3.880000,3.940000,3.825841,11183574
2020-01-08,3.930000,3.960000,3.915000,3.940000,3.825841,11880028
2020-01-09,3.980000,3.980000,3.925000,3.940000,3.825841,7683261
2020-01-10,3.960000,4.000000,3.940000,3.980000,3.864682,13821379
2020-01-13,3.980000,3.990000,3.950000,3.970000,3.854972,7535458
2020-01-14,4.000000,4.000000,3.970000,3.980000,3.864682,11567082
2020-01-15,4.020000,4.030000,3.950000,3.980000,3.864682,18935464
2020-01-16,4.010000,4.040000,3.990000,4.040000,3.922944,12747154
2020-01-17,4.070000,4.085000,4.030000,4.030000,3.913234,11544032
2020-01-20,4.040000,4.050000,3.970000,3.990000,3.874392,7941027
2020-01-21,3.940000,3.960000,3.920000,3.940000,3.825841,10750875
2020-01-22,3.940000,3.950000,3.910000,3.920000,3.806421,19590832
2020-01-23,3.900000,3.945000,3.890000,3.920000,3.806421,26862242
2020-01-24,3.920000,3.940000,3.910000,3.920000,3.806421,12396326
2020-01-28,3.870000,3.890000,3.830000,3.830000,3.719028,18047255
2020-01-29,3.890000,3.910000,3.860000,3.900000,3.787000,10455038
2020-01-30,3.900000,3.920000,3.890000,3.920000,3.806421,17045999
2020-01-31,3.890000,3.910000,3.850000,3.860000,3.748159,19800024
2020-02-03,3.850000,3.880000,3.820000,3.830000,3.719028,8528968
2020-02-04,3.830000,3.830000,3.800000,3.810000,3.699608,16962727
2020-02-05,3.840000,3.870000,3.820000,3.820000,3.709318,15441776
2020-02-06,3.840000,3.850000,3.810000,3.820000,3.709318,11543973
2020-02-07,3.830000,3.850000,3.810000,3.850000,3.738449,26615747
2020-02-10,3.880000,3.900000,3.860000,3.860000,3.748159,14432198
2020-02-11,3.910000,3.930000,3.870000,3.880000,3.767580,21518361
2020-02-12,3.890000,3.930000,3.870000,3.900000,3.787000,13610257
2020-02-13,3.830000,3.830000,3.740000,3.790000,3.790000,15485038
2020-02-14,3.800000,3.800000,3.750000,3.770000,3.770000,17237384
2020-02-17,3.780000,3.800000,3.770000,3.780000,3.780000,4133985
2020-02-18,3.690000,3.730000,3.630000,3.720000,3.720000,29099975
2020-02-19,3.670000,3.715000,3.660000,3.700000,3.700000,11076052
2020-02-20,3.720000,3.740000,3.690000,3.730000,3.730000,11811978
2020-02-21,3.710000,3.790000,3.710000,3.750000,3.750000,15954964
2020-02-24,3.710000,3.730000,3.670000,3.680000,3.680000,13126394
2020-02-25,3.630000,3.650000,3.600000,3.610000,3.610000,19417038
2020-02-26,3.550000,3.600000,3.540000,3.580000,3.580000,20612074
2020-02-27,3.530000,3.560000,3.530000,3.550000,3.550000,17311072
2020-02-28,3.460000,3.480000,3.410000,3.460000,3.460000,35540295
2020-03-02,3.370000,3.420000,3.340000,3.380000,3.380000,16753986
2020-03-03,3.380000,3.470000,3.380000,3.430000,3.430000,21790197
2020-03-04,3.370000,3.390000,3.320000,3.330000,3.330000,27394879
2020-03-05,3.370000,3.440000,3.370000,3.410000,3.410000,22949954
2020-03-06,3.340000,3.370000,3.260000,3.260000,3.260000,21933738
2020-03-09,3.150000,3.210000,3.030000,3.030000,3.030000,29269778
2020-03-10,2.910000,3.040000,2.910000,3.040000,3.040000,31828698
2020-03-11,2.990000,3.050000,2.940000,2.940000,2.940000,30010042
2020-03-12,2.890000,2.920000,2.700000,2.700000,2.700000,35973867
2020-03-13,2.510000,2.605000,2.385000,2.600000,2.600000,46983145
2020-03-16,2.430000,2.510000,2.330000,2.330000,2.330000,35808597
2020-03-17,2.270000,2.320000,2.080000,2.150000,2.150000,56129207
2020-03-18,2.100000,2.150000,1.800000,1.800000,1.800000,57442686
2020-03-19,1.820000,1.875000,1.360000,1.500000,1.500000,65558879
2020-03-20,1.780000,1.920000,1.610000,1.615000,1.615000,75121983
2020-03-23,1.410000,1.525000,1.350000,1.495000,1.495000,41143502
2020-03-24,1.545000,1.625000,1.370000,1.430000,1.430000,30780025
2020-03-25,1.540000,1.715000,1.535000,1.710000,1.710000,41554114
2020-03-26,1.840000,1.840000,1.625000,1.725000,1.725000,38416335
2020-03-27,1.750000,1.750000,1.510000,1.510000,1.510000,34910633
2020-03-30,1.510000,1.520000,1.385000,1.475000,1.475000,53711700
2020-03-31,1.520000,1.650000,1.500000,1.565000,1.565000,56953009
2020-04-01,1.700000,1.785000,1.680000,1.760000,1.760000,36508948
2020-04-02,1.680000,1.715000,1.600000,1.705000,1.705000,26864679
2020-04-03,1.710000,1.710000,1.585000,1.610000,1.610000,31708239
2020-04-06,1.625000,1.700000,1.580000,1.685000,1.685000,20583687
2020-04-07,1.740000,1.880000,1.702000,1.750000,1.750000,33816311
2020-04-08,1.735000,1.970000,1.650000,1.880000,1.880000,38103964
2020-04-09,1.950000,2.080000,1.910000,2.080000,2.080000,38459627
2020-04-14,2.080000,2.100000,1.940000,2.070000,2.070000,33546635
2020-04-15,2.110000,2.160000,2.030000,2.130000,2.130000,30912286
2020-04-16,2.060000,2.090000,1.950000,2.060000,2.060000,40453287
2020-04-17,2.180000,2.310000,2.110000,2.150000,2.150000,43161446
2020-04-20,2.160000,2.190000,2.110000,2.150000,2.150000,23121241
2020-04-21,2.150000,2.180000,2.075000,2.100000,2.100000,39625385
2020-04-22,2.040000,2.100000,2.000000,2.080000,2.080000,29970631
2020-04-23,2.070000,2.095000,1.975000,2.010000,2.010000,26828432
2020-04-24,2.020000,2.050000,1.960000,2.010000,2.010000,22548209
2020-04-27,2.020000,2.160000,2.020000,2.090000,2.090000,17475852
2020-04-28,2.140000,2.200000,2.050000,2.110000,2.110000,27362585
2020-04-29,2.100000,2.190000,2.080000,2.190000,2.190000,26005655
2020-04-30,2.230000,2.355000,2.180000,2.330000,2.330000,42493398
2020-05-01,2.250000,2.260000,2.090000,2.100000,2.100000,33385018
2020-05-04,2.060000,2.110000,2.030000,2.110000,2.110000,15172999
2020-05-05,2.120000,2.220000,2.120000,2.180000,2.180000,21955024
2020-05-06,2.160000,2.170000,2.090000,2.130000,2.130000,12397329
2020-05-07,2.100000,2.130000,2.070000,2.120000,2.120000,14132592
2020-05-08,2.150000,2.220000,2.110000,2.200000,2.200000,27333864
2020-05-11,2.260000,2.320000,2.250000,2.280000,2.280000,26166179
2020-05-12,2.200000,2.210000,2.140000,2.200000,2.200000,26493596
2020-05-13,2.130000,2.170000,2.080000,2.120000,2.120000,25765832
2020-05-14,2.060000,2.080000,2.005000,2.020000,2.020000,33419119
2020-05-15,2.060000,2.080000,1.990000,2.030000,2.030000,45221369
2020-05-18,2.020000,2.130000,2.020000,2.080000,2.080000,29115860
2020-05-19,2.220000,2.270000,2.190000,2.240000,2.240000,36162277
2020-05-20,2.200000,2.270000,2.180000,2.260000,2.260000,19160651
2020-05-21,2.280000,2.290000,2.195000,2.270000,2.270000,24154846
2020-05-22,2.290000,2.330000,2.240000,2.240000,2.240000,15928495
2020-05-25,2.290000,2.320000,2.230000,2.320000,2.320000,27950299
2020-05-26,2.320000,2.460000,2.310000,2.450000,2.450000,24700915
2020-05-27,2.480000,2.540000,2.370000,2.470000,2.470000,34335205
2020-05-28,2.510000,2.530000,2.360000,2.380000,2.380000,38893580
2020-05-29,2.360000,2.370000,2.230000,2.230000,2.230000,70052048
2020-06-01,2.150000,2.220000,2.140000,2.190000,2.190000,37635449
2020-06-02,2.190000,2.330000,2.160000,2.310000,2.310000,41773968
2020-06-03,2.360000,2.430000,2.360000,2.420000,2.420000,25275634
2020-06-04,2.490000,2.530000,2.445000,2.480000,2.480000,34293508
2020-06-05,2.480000,2.530000,2.450000,2.510000,2.510000,23638705
2020-06-09,2.620000,2.770000,2.620000,2.730000,2.730000,40958967
2020-06-10,2.680000,2.680000,2.600000,2.610000,2.610000,31100797
2020-06-11,2.500000,2.530000,2.400000,2.400000,2.400000,47637973
2020-06-12,2.300000,2.340000,2.200000,2.290000,2.290000,49052296
2020-06-15,2.310000,2.350000,2.190000,2.200000,2.200000,28070965
2020-06-16,2.320000,2.360000,2.270000,2.310000,2.310000,36582358
2020-06-17,2.330000,2.380000,2.250000,2.380000,2.380000,30210954
2020-06-18,2.360000,2.380000,2.290000,2.320000,2.320000,31891066
2020-06-19,2.330000,2.350000,2.210000,2.210000,2.210000,74185489
2020-06-22,2.190000,2.245000,2.170000,2.190000,2.190000,23197981
2020-06-23,2.200000,2.270000,2.150000,2.260000,2.260000,27496075
