Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,3.720000,3.725000,3.670000,3.690000,3.623375,36369787
2019-12-20,3.680000,3.715000,3.670000,3.680000,3.613556,30920793
2019-12-23,3.680000,3.690000,3.670000,3.670000,3.603736,6415195
2019-12-24,3.660000,3.685000,3.640000,3.650000,3.584097,5587762
2019-12-27,3.640000,3.670000,3.630000,3.660000,3.593917,9479945
2019-12-30,3.660000,3.670000,3.640000,3.640000,3.574278,10388203
2019-12-31,3.620000,3.640000,3.540000,3.540000,3.476083,15074295
2020-01-02,3.560000,3.610000,3.550000,3.580000,3.515361,19130237
2020-01-03,3.610000,3.620000,3.580000,3.590000,3.525181,14735849
2020-01-06,3.580000,3.635000,3.550000,3.620000,3.554639,17087753
2020-01-07,3.650000,3.710000,3.630000,3.710000,3.643014,18373972
2020-01-08,3.710000,3.765000,3.680000,3.740000,3.672472,23126364
2020-01-09,3.780000,3.800000,3.770000,3.800000,3.731389,19301264
2020-01-10,3.800000,3.860000,3.780000,3.850000,3.780486,21117643
2020-01-13,3.820000,3.850000,3.810000,3.840000,3.770666,9790620
2020-01-14,3.830000,3.840000,3.795000,3.830000,3.760847,13588595
2020-01-15,3.840000,3.840000,3.800000,3.840000,3.770666,13730509
2020-01-16,3.870000,3.890000,3.840000,3.880000,3.809944,16222161
2020-01-17,3.880000,3.910000,3.850000,3.900000,3.829583,31908221
2020-01-20,3.900000,3.900000,3.870000,3.870000,3.800125,18794535
2020-01-21,3.860000,3.870000,3.840000,3.870000,3.800125,12261380
2020-01-22,3.880000,3.900000,3.865000,3.890000,3.819764,15583734
2020-01-23,3.890000,3.900000,3.860000,3.900000,3.829583,15695354
2020-01-24,3.910000,3.910000,3.880000,3.880000,3.809944,13542886
2020-01-28,3.820000,3.900000,3.810000,3.860000,3.790305,24046494
2020-01-29,3.890000,3.910000,3.850000,3.850000,3.780486,16159382
2020-01-30,3.850000,3.870000,3.830000,3.860000,3.790305,23652126
2020-01-31,3.880000,3.900000,3.840000,3.840000,3.770666,27385959
2020-02-03,3.790000,3.850000,3.780000,3.830000,3.760847,15478039
2020-02-04,3.820000,3.850000,3.810000,3.820000,3.751028,12197306
2020-02-05,3.840000,3.870000,3.790000,3.800000,3.731389,27367806
2020-02-06,3.810000,3.860000,3.805000,3.830000,3.760847,29888727
2020-02-07,3.830000,3.850000,3.760000,3.790000,3.721569,40780777
2020-02-10,3.790000,3.845000,3.780000,3.820000,3.751028,18240458
2020-02-11,3.860000,3.915000,3.850000,3.890000,3.819764,33635168
2020-02-12,3.870000,3.885000,3.810000,3.820000,3.751028,29916592
2020-02-13,3.840000,3.940000,3.700000,3.760000,3.692111,51965767
2020-02-14,3.780000,3.800000,3.765000,3.770000,3.701931,25176746
2020-02-17,3.770000,3.770000,3.710000,3.720000,3.652833,24022094
2020-02-18,3.720000,3.745000,3.710000,3.730000,3.662653,20018249
2020-02-19,3.730000,3.750000,3.710000,3.750000,3.682292,28491354
2020-02-20,3.760000,3.810000,3.740000,3.790000,3.721569,20184025
2020-02-21,3.800000,3.800000,3.730000,3.740000,3.672472,18702465
2020-02-24,3.720000,3.740000,3.690000,3.710000,3.643014,25202934
2020-02-25,3.650000,3.650000,3.580000,3.600000,3.535000,56897295
2020-02-26,3.460000,3.520000,3.430000,3.500000,3.465686,34970669
2020-02-27,3.460000,3.485000,3.420000,3.440000,3.406275,44918366
2020-02-28,3.370000,3.490000,3.310000,3.430000,3.396373,75936879
2020-03-02,3.360000,3.465000,3.350000,3.430000,3.396373,48079509
2020-03-03,3.480000,3.545000,3.470000,3.500000,3.465686,44664452
2020-03-04,3.470000,3.500000,3.460000,3.480000,3.445882,28370136
2020-03-05,3.540000,3.590000,3.530000,3.550000,3.515196,31099903
2020-03-06,3.490000,3.570000,3.480000,3.550000,3.515196,36487996
2020-03-09,3.470000,3.530000,3.420000,3.480000,3.445882,55244565
2020-03-10,3.350000,3.500000,3.340000,3.500000,3.465686,66111731
2020-03-11,3.460000,3.480000,3.400000,3.400000,3.366667,47709725
2020-03-12,3.350000,3.370000,3.110000,3.120000,3.089411,90743079
2020-03-13,2.950000,3.330000,2.900000,3.320000,3.287451,103537877
2020-03-16,3.050000,3.460000,3.050000,3.380000,3.346863,92517707
2020-03-17,3.320000,3.570000,3.300000,3.470000,3.435980,69825293
2020-03-18,3.400000,3.440000,3.140000,3.180000,3.148823,79875678
2020-03-19,3.230000,3.300000,3.160000,3.270000,3.237941,62488885
2020-03-20,3.220000,3.300000,3.065000,3.070000,3.039902,65255805
2020-03-23,2.910000,3.170000,2.870000,3.090000,3.059706,64653328
