Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,24.590000,24.590000,24.280001,24.389999,23.985239,10221796
2019-12-20,24.260000,24.379999,24.230000,24.250000,23.847565,12863418
2019-12-23,24.230000,24.420000,24.200001,24.240000,23.837730,3566549
2019-12-24,24.209999,24.309999,24.180000,24.209999,23.808228,1957153
2019-12-27,24.270000,24.370001,24.230000,24.330000,23.926237,3502078
2019-12-30,24.389999,24.420000,24.200001,24.400000,23.995073,3312550
2019-12-31,24.209999,24.280001,24.110001,24.230000,23.827896,4490551
2020-01-02,24.110001,24.260000,24.090000,24.190001,23.788561,3566294
2020-01-03,24.500000,24.620001,24.330000,24.360001,23.955738,4519868
2020-01-06,24.350000,24.350000,24.100000,24.340000,23.936071,4573503
2020-01-07,24.549999,24.660000,24.500000,24.620001,24.211424,5050333
2020-01-08,24.620001,24.639999,24.250000,24.540001,24.132751,4926001
2020-01-09,24.719999,24.740000,24.400000,24.469999,24.063911,8525619
2020-01-10,24.580000,24.700001,24.559999,24.650000,24.240925,4791982
2020-01-13,24.580000,24.680000,24.510000,24.590000,24.181921,3949922
2020-01-14,24.690001,24.740000,24.514999,24.570000,24.162252,5765970
2020-01-15,24.690001,24.700001,24.610001,24.690001,24.280262,6121181
2020-01-16,24.799999,24.950001,24.770000,24.900000,24.486776,6327166
2020-01-17,24.990000,25.170000,24.969999,24.980000,24.565449,6854059
2020-01-20,25.040001,25.180000,25.020000,25.070000,24.653955,4988301
2020-01-21,25.170000,25.170000,25.000000,25.120001,24.703127,4047571
2020-01-22,25.170000,25.219999,24.980000,25.139999,24.722794,9410824
2020-01-23,25.139999,25.139999,24.985001,25.080000,24.663790,7004942
2020-01-24,25.250000,25.400000,25.200001,25.209999,24.791632,6980067
2020-01-28,25.000000,25.049999,24.870001,25.000000,24.585117,5537509
2020-01-29,25.100000,25.309999,25.075001,25.190001,24.771965,5197165
2020-01-30,25.299999,25.330000,25.205000,25.309999,24.889973,4717483
2020-01-31,25.309999,25.400000,25.059999,25.120001,24.703127,9373139
2020-02-03,24.900000,24.910000,24.520000,24.809999,24.398270,7767079
2020-02-04,24.600000,24.900000,24.450001,24.799999,24.388435,7341911
2020-02-05,24.900000,24.980000,24.730000,24.730000,24.319597,4916152
2020-02-06,24.980000,25.250000,24.930000,25.160000,24.742462,8381384
2020-02-07,25.240000,25.250000,24.850000,25.010000,24.594952,8936291
2020-02-10,25.010000,25.110001,24.870001,24.969999,24.555614,3827145
2020-02-11,25.100000,25.245001,25.030001,25.100000,24.683458,4580475
2020-02-12,25.250000,25.299999,25.160000,25.250000,24.830969,8351876
2020-02-13,25.389999,25.719999,25.320000,25.410000,24.988314,8630192
2020-02-14,25.400000,25.799999,25.350000,25.700001,25.273502,8445885
2020-02-17,25.740000,25.770000,25.490000,25.620001,25.194830,5437953
2020-02-18,25.650000,25.790001,25.590000,25.750000,25.322670,7001667
2020-02-19,25.530001,25.730000,25.510000,25.620001,25.194830,9064451
2020-02-20,25.750000,25.820000,25.570000,25.690001,25.263668,7038380
2020-02-21,25.750000,25.959999,25.719999,25.809999,25.381674,6827084
2020-02-24,25.650000,25.690001,25.219999,25.500000,25.076820,10185952
2020-02-25,25.000000,25.129999,24.790001,25.080000,24.663790,9915004
2020-02-26,24.700001,24.770000,24.459999,24.660000,24.250759,9865652
2020-02-27,24.540001,24.770000,24.160000,24.330000,23.926237,17835482
2020-02-28,23.889999,23.889999,23.514999,23.639999,23.247686,22523890
2020-03-02,23.240000,23.250000,22.680000,23.190001,22.805155,14172389
2020-03-03,23.500000,23.660000,22.799999,22.940001,22.559305,18011748
2020-03-04,22.500000,22.639999,22.195000,22.230000,21.861086,15292761
2020-03-05,22.500000,22.660000,22.250000,22.250000,21.880754,12014024
2020-03-06,21.790001,21.850000,21.350000,21.350000,20.995691,13480773
2020-03-09,20.299999,20.719999,19.520000,19.520000,19.196060,18927234
2020-03-10,18.799999,20.559999,18.639999,20.540001,20.199133,22755828
2020-03-11,20.680000,20.680000,19.459999,19.459999,19.137054,17293393
2020-03-12,19.070000,19.440001,17.740000,17.740000,17.445599,25091325
2020-03-13,16.360001,18.120001,15.530000,18.120001,17.819294,44508593
2020-03-16,17.000000,17.420000,15.980000,15.980000,15.714807,24168759
2020-03-17,16.000000,17.490000,16.000000,17.250000,16.963732,23986281
2020-03-18,17.070000,17.080000,15.900000,15.900000,15.636134,23558831
2020-03-19,16.379999,16.879999,14.530000,14.530000,14.288870,32807395
2020-03-20,15.290000,16.400000,15.210000,15.770000,15.508292,28486410
2020-03-23,14.480000,14.630000,13.470000,14.100000,13.866007,22683017
2020-03-24,14.500000,14.690000,14.000000,14.510000,14.269202,28821872
2020-03-25,15.640000,15.850000,14.830000,15.850000,15.586965,19192572
2020-03-26,15.990000,16.250000,15.500000,16.020000,15.754144,16508976
2020-03-27,16.400000,16.450001,14.890000,14.890000,14.642897,22664013
2020-03-30,15.150000,16.160000,15.150000,16.160000,15.891820,13940674
2020-03-31,16.709999,17.590000,16.200001,16.500000,16.226177,24313046
2020-04-01,17.080000,17.080000,16.280001,16.700001,16.422859,13814763
2020-04-02,16.000000,16.309999,15.735000,15.980000,15.714807,14329425
2020-04-03,16.150000,16.280001,15.460000,15.510000,15.252607,13627447
2020-04-06,15.750000,16.370001,15.670000,16.350000,16.078667,12669967
2020-04-07,16.840000,16.980000,15.820000,16.100000,15.832816,14570735
2020-04-08,15.550000,15.750000,15.100000,15.250000,14.996922,17904663
2020-04-09,15.630000,15.960000,15.330000,15.960000,15.695139,13217582
2020-04-14,15.960000,16.270000,15.610000,16.270000,15.999995,15308144
