Daily Gross Short Sales reported for 08-Jan-2021, ASX Limited (ASX) & Chi-X Australia (CHI-X)

No responsibility is accepted for any inaccuracies contained in the matter published.
Securities that have had no short sales actively reported for the date shown are excluded from this report.

ASX     Company Name                      Product/      Reported Gross         Issued              % of issued capital
Code                                      Class         Short Sales (a)        Capital (b)         reported as short
                                                        ASX + CHI-X                                sold  (a)/(b)
360     LIFE360 INC.                      CDI FORUS              9,850         150,083,424         .00
3DP     POINTERRA LIMITED                 FPO                   32,559         670,733,112         .00
3PL     3P LEARNING LIMITED..             FPO                    2,184         139,484,170         .00
4DS     4DS MEMORY LIMITED                FPO                   25,600       1,316,780,441         .00
4DX     4DMEDICAL LIMITED                 FPO                    2,531         177,411,686         .00
5GN     5G NETWORKS LIMITED               FPO                    1,300         113,789,181         .00
8CO     8COMMON LIMITED                   FPO                    7,362         200,409,756         .00
A2B     A2B AUSTRALIA LIMITED             FPO                      318         120,430,683         .00
A2M     THE A2 MILK COMPANY LIMITED       FPO NZ               635,023         742,606,937         .08
AAA     BETASHARES AUSTRALIAN HIGH INTERE ETF UNITS             16,457          44,049,211         .03
AAC     AUSTRALIAN AGRICULTURAL COMPANY L FPO                   48,598         602,766,747         .00
ABA     AUSWIDE BANK LTD                  FPO                    2,276          42,716,729         .00
ABC     ADBRI LIMITED                     FPO                   80,980         652,266,367         .01
ABP     ABACUS PROPERTY GROUP             STAPLED              123,935         804,397,934         .01
ABY     ADORE BEAUTY GROUP LIMITED        FPO                   25,008          94,124,497         .02
AC8     AUSCANN GROUP HOLDINGS LTD        FPO                   20,491         317,047,357         .00
ACB     A-CAP ENERGY LIMITED              FPO                   37,418         871,884,866         .00
ACDC    ETFS BATTERY TECH & LITHIUM ETF   ETF UNITS             17,253             580,796        2.97
AD8     AUDINATE GROUP LIMITED            FPO                    2,717          76,253,619         .00
ADH     ADAIRS LIMITED                    FPO                   41,233         169,077,075         .02
ADI     APN INDUSTRIA REIT                STAPLED               10,175         209,763,282         .00
ADN     ANDROMEDA METALS LIMITED          FPO                   83,656       2,152,727,827         .00
ADT     ADRIATIC METALS PLC               CDI 1:1               34,654         180,760,288         .01
AEF     AUSTRALIAN ETHICAL INVESTMENT LIM FPO                   13,208         112,387,138         .01
AFG     AUSTRALIAN FINANCE GROUP LTD      FPO                    3,575         268,382,396         .00
AFI     AUSTRALIAN FOUNDATION INVESTMENT  FPO                    3,226       1,216,722,397         .00
AGE     ALLIGATOR ENERGY LIMITED          FPO                  286,661       2,353,992,960         .01
AGH     ALTHEA GROUP HOLDINGS LIMITED     FPO                   22,111         253,780,439         .00
AGI     AINSWORTH GAME TECHNOLOGY LIMITED FPO                   17,738         336,793,929         .00
AGL     AGL ENERGY LIMITED.               FPO                  449,171         623,033,791         .07
AGY     ARGOSY MINERALS LIMITED           FPO                   55,113       1,019,502,141         .00
AHX     APIAM ANIMAL HEALTH LIMITED       FPO                    4,845         120,742,028         .00
AHY     ASALEO CARE LIMITED               FPO                   17,150         543,122,491         .00
AIA     AUCKLAND INTERNATIONAL AIRPORT LI FPO NZX               61,297       1,472,551,137         .00
AIS     AERIS RESOURCES LIMITED           FPO                   43,456       1,897,018,636         .00
AIZ     AIR NEW ZEALAND LIMITED           FPO NZX               27,359       1,122,844,227         .00
ALC     ALCIDION GROUP LIMITED            FPO                    7,200         990,694,052         .00
ALD     AMPOL LIMITED                     FPO                   47,416         249,706,947         .01
ALG     ARDENT LEISURE GROUP LIMITED      FPO                   65,221         479,706,016         .01
ALK     ALKANE RESOURCES LIMITED          FPO                   78,065         595,388,800         .01
ALL     ARISTOCRAT LEISURE LIMITED        FPO                  191,328         638,544,150         .03
ALQ     ALS LIMITED                       FPO                  133,018         482,425,769         .02
ALU     ALTIUM LIMITED                    FPO                  101,014         130,965,775         .07
ALX     ATLAS ARTERIA                     FPOSFORUS            264,433         959,018,226         .02
AMA     AMA GROUP LIMITED                 FPO                  303,283         742,024,298         .04
AMC     AMCOR PLC                         CDI 1:1              483,393         878,113,376         .05
AMI     AURELIA METALS LIMITED            FPO                  205,908       1,234,326,525         .01
AMP     AMP LIMITED                       FPO                1,317,009       3,436,599,241         .03
AMS     ATOMOS LIMITED                    FPO                   93,675         218,482,912         .04
AMX     AEROMETREX LIMITED                FPO                      998          94,400,000         .00
ANG     AUSTIN ENGINEERING LIMITED        FPO                   23,400         579,874,323         .00
ANN     ANSELL LIMITED                    FPO                   37,501         128,527,343         .02
ANP     ANTISENSE THERAPEUTICS LIMITED    FPO                    8,045         573,988,171         .00
ANZ     AUSTRALIA AND NEW ZEALAND BANKING FPO                  570,712       2,845,541,800         .02
AOF     AUSTRALIAN UNITY OFFICE FUND      FPO                      756         163,463,884         .00
AOU     AUROCH MINERALS LTD               FPO                  242,944         255,685,133         .09
APA     APA GROUP                         STAPLED              538,659       1,179,893,848         .04
APE     EAGERS AUTOMOTIVE LIMITED         FPO                   36,803         256,933,106         .01
API     AUSTRALIAN PHARMACEUTICAL INDUSTR FPO                   74,092         492,656,035         .01
APT     AFTERPAY LIMITED                  FPO                  213,880         285,155,191         .07
APX     APPEN LIMITED                     FPO                   74,295         122,345,605         .06
AQZ     ALLIANCE AVIATION SERVICES LIMITE FPO                    2,498         160,476,516         .00
AR9     ARCHTIS LIMITED                   FPO                   39,637         222,165,057         .01
ARB     ARB CORPORATION LIMITED.          FPO                   16,514          80,853,876         .02
ARD     ARGENT MINERALS LIMITED           FPO                  142,158         875,146,204         .01
ARF     ARENA REIT.                       STAPLED                9,987         341,867,673         .00
ARG     ARGO INVESTMENTS LIMITED          FPO                    2,106         722,656,529         .00
ARR     AMERICAN RARE EARTHS LIMITED      FPO NZ                17,147         329,836,259         .00
ARV     ARTEMIS RESOURCES LIMITED         FPO                   48,272       1,136,764,317         .00
ASB     AUSTAL LIMITED                    FPO                  253,806         359,558,055         .07
ASM     AUSTRALIAN STRATEGIC MATERIALS LI FPO                    1,366         119,049,778         .00
ASN     ANSON RESOURCES LIMITED           FPO                    4,623         869,479,642         .00
AST     AUSNET SERVICES LIMITED           FPO                1,604,449       3,801,232,373         .04
ASX     ASX LIMITED                       FPO                   40,233         193,595,162         .02
ATS     AUSTRALIS OIL & GAS LIMITED       FPO                   29,000         985,963,678         .00
ATU     ATRUM COAL LIMITED                FPO                      944         580,649,344         .00
AUB     AUB GROUP LIMITED                 FPO                   11,787          74,379,201         .01
AUT     AUTECO MINERALS LTD               FPO                   17,317       1,567,178,936         .00
AUZ     AUSTRALIAN MINES LIMITED          FPO                  473,209       3,961,453,850         .01
AV1     ADVERITAS LIMITED                 FPO                    1,487         355,923,076         .00
AVA     AVA RISK GROUP LIMITED            FPO                   42,176         241,379,402         .01
AVH     AVITA THERAPEUTICS, INC.          CDI 5:1               50,974          66,914,685         .07
AVN     AVENTUS GROUP                     STAPLED                3,805         567,699,674         .00
AVZ     AVZ MINERALS LIMITED              FPO                  115,228       2,872,498,508         .00
AWC     ALUMINA LIMITED                   FPO                1,227,063       2,901,681,417         .04
AX1     ACCENT GROUP LIMITED              FPO                  152,909         541,866,715         .02
AXE     ARCHER MATERIALS LIMITED          FPO                   11,543         225,136,546         .00
AYS     AMAYSIM AUSTRALIA LIMITED         FPO                   21,234         295,110,421         .00
AZJ     AURIZON HOLDINGS LIMITED          FPO                  527,343       1,858,569,101         .02
AZS     AZURE MINERALS LIMITED            FPO                   57,586         308,085,721         .01
BAP     BAPCOR LIMITED                    FPO                   82,475         339,412,500         .02
BAR     BARRA RESOURCES LIMITED           FPO                  354,712         677,608,101         .05
BAT     BATTERY MINERALS LIMITED          FPO                  835,091       2,041,273,541         .04
BBN     BABY BUNTING GROUP LIMITED        FPO                    4,289         129,255,075         .00
BBOZ    BETASHARES AUSTRALIAN STRONG BEAR TMF UNITS            669,236          53,850,000        1.24
BDA     BOD AUSTRALIA LIMITED             FPO                    4,573         105,823,920         .00
BDC     BARDOC GOLD LIMITED               FPO                    3,316       1,731,157,376         .00
BEN     BENDIGO AND ADELAIDE BANK LIMITED FPO                  170,259         531,294,248         .03
BET     BETMAKERS TECHNOLOGY GROUP LTD    FPO                   14,589         684,835,180         .00
BFG     BELL FINANCIAL GROUP LIMITED      FPO                    8,109         320,743,948         .00
BGA     BEGA CHEESE LIMITED               FPO                   25,952         302,337,115         .00
BGL     BELLEVUE GOLD LIMITED             FPO                   83,215         851,197,473         .01
BHP     BHP GROUP LIMITED                 FPO                  579,225       2,945,851,394         .02
BID     BILL IDENTITY LIMITED             FPO                   49,665         161,299,080         .03
BILL    ISHARES CORE CASH ETF             ETF UNITS              4,668           5,380,869         .08
BIN     BINGO INDUSTRIES LIMITED          FPO                  620,651         654,269,502         .09
BKG     BOOKTOPIA GROUP LIMITED           FPO                       88         137,359,299         .00
BKL     BLACKMORES LIMITED                FPO                    3,661          19,347,715         .01
BKW     BRICKWORKS LIMITED                FPO                    9,779         151,596,520         .00
BLD     BORAL LIMITED.                    FPO                  241,597       1,225,653,798         .02
BLG     BLUGLASS LIMITED                  FPO                   10,770         722,577,933         .00
BLX     BEACON LIGHTING GROUP LIMITED     FPO                      895         223,321,406         .00
BOE     BOSS ENERGY LTD                   FPO                   23,287       1,831,098,605         .00
BOQ     BANK OF QUEENSLAND LIMITED.       FPO                  220,497         455,480,790         .04
BPT     BEACH ENERGY LIMITED              FPO                  725,822       2,281,333,656         .03
BRG     BREVILLE GROUP LIMITED            FPO                    8,340         138,940,804         .00
BRN     BRAINCHIP HOLDINGS LTD            FPO                  107,151       1,616,591,588         .00
BSE     BASE RESOURCES LIMITED            FPO                      173       1,178,011,850         .00
BSL     BLUESCOPE STEEL LIMITED           FPO                  150,915         503,782,240         .03
BTH     BIGTINCAN HOLDINGS LIMITED        FPO                   20,562         412,023,373         .00
BUB     BUBS AUSTRALIA LIMITED            FPO                  116,637         612,775,580         .01
BUD     BUDDY TECHNOLOGIES LTD            FPO                  187,066       2,947,166,796         .00
BVS     BRAVURA SOLUTIONS LIMITED.        FPO                  303,407         247,165,023         .12
BWP     BWP TRUST                         ORD UNITS            234,197         642,383,803         .03
BWX     BWX LIMITED                       FPO                   16,897         139,543,998         .01
BXB     BRAMBLES LIMITED                  FPO                  372,178       1,472,680,751         .02
BYE     BYRON ENERGY LIMITED              FPO                   10,417       1,040,295,102         .00
CAI     CALIDUS RESOURCES LIMITED         FPO                   67,010         336,170,075         .02
CAN     CANN GROUP LIMITED                FPO                  110,565         269,985,378         .04
CAR     CARSALES.COM LIMITED.             FPO                   21,396         246,385,533         .00
CAT     CATAPULT GROUP INTERNATIONAL LTD  FPO                    2,075         200,431,654         .00
CBA     COMMONWEALTH BANK OF AUSTRALIA.   FPO                  486,781       1,774,096,410         .02
CBR     CARBON REVOLUTION LIMITED         FPO                    4,907         136,010,388         .00
